Id,SalePrice
1461,119200.553747
1462,122833.458451
1463,168109.565842
1464,195206.400915
1465,181094.634857
1466,175896.685032
1467,197890.753192
1468,171497.332751
1469,197683.025062
1470,119274.800038
1471,196596.119079
1472,110856.661622
1473,100874.48477
1474,158128.512801
1475,123181.197946
1476,330781.521425
1477,245937.718042
1478,274042.414118
1479,257192.305597
1480,411880.061585
1481,293928.08231
1482,199042.645645
1483,166102.104521
1484,161777.483341
1485,205629.027416
1486,204306.956959
1487,310605.514013
1488,247035.678434
1489,181865.195104
1490,216202.940172
1491,193825.870486
1492,97413.4321677
1493,228388.824561
1494,289347.189854
1495,285921.643774
1496,208543.239331
1497,163246.169346
1498,152426.138726
1499,165346.750117
1500,152366.549411
1501,156298.87079
1502,149488.287603
1503,301537.836881
1504,245893.172147
1505,219470.262375
1506,186195.30038
1507,237329.440737
1508,185878.308247
1509,158206.471862
1510,136940.100396
1511,139000.937647
1512,168907.242055
1513,130501.488064
1514,144721.924781
1515,190923.743001
1516,148429.438916
1517,158286.130011
1518,127439.364729
1519,212459.459972
1520,119557.727427
1521,112122.790255
1522,188296.3845
1523,97059.5179367
1524,114602.107483
1525,110099.872194
1526,98892.3757912
1527,104754.966403
1528,155450.027577
1529,132184.094033
1530,223299.115141
1531,115029.088361
1532,108269.168643
1533,152154.438016
1534,128392.870587
1535,143490.734059
1536,108024.100872
1537,74550.9476594
1538,168925.111634
1539,193392.532658
1540,84445.6970401
1541,139323.567332
1542,131030.735902
1543,175147.5496
1544,98551.2841435
1545,127712.370642
1546,145306.508124
1547,137677.727554
1548,135770.2125
1549,121481.953872
1550,128100.196636
1551,124777.139557
1552,135075.131065
1553,141062.688728
1554,128141.30838
1555,143947.30893
1556,94014.1707571
1557,87407.1690009
1558,103358.523676
1559,78308.2966931
1560,122078.624083
1561,114264.976969
1562,133499.368421
1563,117329.529237
1564,153872.736019
1565,147782.603772
1566,243009.892714
1567,84833.519221
1568,204347.455949
1569,106793.895005
1570,149520.049368
1571,125933.712536
1572,139936.416312
1573,243648.316937
1574,118793.999037
1575,223994.36993
1576,256903.711037
1577,180821.693939
1578,135718.912695
1579,134762.98881
1580,200536.378657
1581,161377.522908
1582,133250.24189
1583,313205.363877
1584,225383.513597
1585,140490.176798
1586,86240.4486786
1587,109782.101605
1588,142456.935213
1589,105321.810314
1590,141378.380913
1591,85966.857081
1592,118255.959783
1593,142719.451592
1594,124829.843423
1595,97700.9746892
1596,201526.44882
1597,155178.838146
1598,203763.219595
1599,187647.708725
1600,177867.566626
1601,68220.5307948
1602,115106.913023
1603,92512.4301657
1604,246214.065265
1605,267360.196072
1606,175478.616353
1607,172107.359193
1608,230704.587402
1609,189645.268148
1610,154198.965707
1611,147514.25148
1612,156671.311702
1613,171737.204884
1614,134786.370342
1615,93950.6328198
1616,81290.0857046
1617,99489.9386961
1618,124535.75236
1619,153702.945218
1620,165018.533452
1621,136678.758907
1622,137429.55787
1623,286855.74805
1624,199167.118935
1625,114583.068446
1626,178451.050684
1627,184852.818936
1628,279126.174793
1629,189488.260043
1630,295534.749964
1631,201027.081636
1632,212329.57338
1633,189386.973302
1634,195209.428357
1635,187295.076694
1636,166053.205982
1637,189426.935343
1638,206421.853509
1639,189044.416221
1640,254560.398579
1641,180335.388497
1642,225258.921392
1643,220618.683093
1644,232251.690606
1645,242881.304737
1646,171398.384697
1647,168910.086513
1648,128215.724257
1649,137765.519391
1650,125204.09155
1651,127066.781703
1652,117235.465344
1653,122524.456899
1654,155236.820741
1655,154329.751384
1656,148731.174718
1657,158614.209688
1658,152128.882295
1659,132791.401316
1660,146981.854772
1661,426773.493281
1662,366304.469751
1663,328034.862794
1664,498949.465039
1665,286669.221245
1666,294099.57281
1667,340547.541738
1668,316748.047083
1669,291452.607111
1670,315376.906978
1671,235565.95411
1672,385807.44378
1673,292264.508186
1674,251432.925929
1675,170820.474528
1676,179139.321686
1677,198983.439123
1678,405284.013469
1679,319907.953689
1680,285572.403484
1681,222416.771211
1682,275572.921164
1683,182482.652208
1684,199711.693876
1685,180111.947911
1686,174028.814509
1687,187841.888255
1688,201723.452977
1689,206618.916466
1690,213115.396255
1691,206322.604588
1692,280108.912537
1693,178319.245602
1694,193767.655843
1695,183918.942823
1696,283312.814585
1697,192030.362932
1698,351124.882625
1699,306671.550189
1700,243921.307148
1701,258415.763517
1702,245197.39037
1703,263904.022594
1704,275605.201428
1705,227756.640493
1706,387081.559026
1707,196014.677734
1708,194104.541181
1709,268644.184879
1710,212307.737549
1711,276126.016917
1712,253150.62932
1713,259199.76275
1714,215540.133415
1715,201201.633409
1716,183092.536784
1717,195281.706144
1718,131958.256303
1719,194229.768857
1720,236263.34599
1721,181196.176842
1722,123085.581003
1723,162567.046158
1724,216774.834947
1725,234889.059677
1726,186151.512091
1727,143849.236865
1728,196516.206165
1729,165786.182139
1730,180854.405893
1731,128718.364071
1732,125330.421862
1733,108581.19921
1734,116857.143192
1735,138531.893482
1736,114947.05795
1737,378909.188992
1738,252908.502543
1739,259414.158683
1740,189630.500533
1741,171864.607829
1742,158220.055784
1743,178128.025908
1744,310647.009003
1745,194773.75303
1746,212726.305581
1747,225455.10376
1748,227885.210159
1749,150961.789248
1750,136684.750139
1751,270776.390416
1752,113545.328524
1753,142714.020598
1754,215841.818335
1755,150595.14763
1756,143115.200532
1757,113304.638649
1758,144404.932773
1759,167895.123945
1760,173069.528217
1761,160989.577502
1762,168789.876055
1763,167404.713506
1764,110810.778206
1765,169107.013969
1766,197692.234515
1767,253288.033425
1768,133430.657553
1769,186861.307029
1770,161401.059207
1771,116926.921473
1772,122688.157656
1773,124987.33526
1774,127194.595861
1775,137714.450601
1776,129554.266932
1777,106691.572165
1778,137042.330798
1779,118611.186608
1780,197469.923012
1781,116486.04809
1782,83438.85182
1783,149612.992215
1784,101338.811143
1785,110726.382095
1786,167734.037972
1787,166788.284591
1788,63777.985316
1789,105180.989857
1790,73927.1113593
1791,201580.172766
1792,156876.202192
1793,151966.801721
1794,172314.842512
1795,121171.191877
1796,116442.51794
1797,135734.559449
1798,111345.62174
1799,113627.194023
1800,113064.173293
1801,117536.62633
1802,161552.931113
1803,146764.367208
1804,134863.312017
1805,142317.274108
1806,136083.362643
1807,148473.412939
1808,126645.492495
1809,110408.722715
1810,143488.794495
1811,84384.0092558
1812,93510.0726991
1813,122042.060198
1814,98214.7729015
1815,66007.1435824
1816,102165.171444
1817,99503.7639892
1818,125447.21667
1819,132801.527441
1820,70814.9453448
1821,127992.638966
1822,157411.505499
1823,60245.4861358
1824,129778.628566
1825,132702.586958
1826,97027.6253811
1827,106821.681977
1828,132672.559725
1829,151765.731145
1830,141245.854684
1831,160793.500775
1832,89723.6519572
1833,144841.969763
1834,126561.812796
1835,119686.568741
1836,122443.366014
1837,90010.0578473
1838,126663.429868
1839,111004.104793
1840,149908.226329
1841,133158.104912
1842,100784.217026
1843,125351.230205
1844,137024.33194
1845,139844.591504
1846,143871.376768
1847,144735.42707
1848,58086.5109219
1849,119154.560877
1850,114325.491213
1851,142163.252085
1852,131900.492038
1853,120504.066394
1854,173390.070353
1855,155381.171693
1856,236616.394189
1857,133762.766736
1858,148492.123103
1859,131885.100427
1860,163039.739145
1861,131342.81323
1862,394070.45119
1863,389518.731629
1864,388174.129307
